"CompoundName","PredProbability"
"(3R,2'S)-myxol 2'-fucoside",1
"(3S,2'S)-4-ketomyxol 2'-fucoside",1
"Microviridin G",1
"Microviridin H",1
"NOD-Har",1
"Nodulapeptin 867",0.968505986465382
"Nodulapeptin 865",0.968261964735517
"Hassallidin A",0.968126272912423
"Anabaenopeptin NZ857",0.967498699947998
"Laxaphycin B",0.967282924802659
"Schizopeptin 791",0.966707768187423
"Laxaphycin B2",0.966617210682493
"Nostocyclopeptide Ncp-E3",0.959357923497268
"Nostopeptolide A1",0.957507557944239
"Nostopeptolide A3",0.957507557944239
"Hormothamnin A",0.956186241171854
"Laxaphycin A",0.956186241171854
"Anabaenopeptin 857",0.955572675911659
"Anabaenopeptin NZ841",0.955572675911659
"Nodulapeptin B",0.955464612421762
"Nodulapeptin 863",0.954793840039742
"Nodulapeptin 915a",0.954319761668322
"Nodulapeptin 855b",0.953389830508474
"Anabaenopeptin J",0.950879320800485
"Nostocyclopeptide Ncp-E1",0.950879320800485
"Laxaphycin B3",0.950414057766108
"Trichormamide C",0.948720615768671
"Nostocyclopeptide Ncp-E2",0.948345712356516
"Anabaenopeptin 871",0.941982071713148
"Nodulapeptin A",0.94140989729225
"Lobocyclamide C",0.93711467324291
"Laxaphycin A2",0.935897435897436
"[D-Val9]Laxaphycin A",0.935170807453416
"Nodulapeptin 883c",0.933009708737864
"Nodulapeptin 821",0.932933478735005
"Namalide B",0.931315483119907
"Laxaphycin E",0.930597014925373
"Nodulapeptin 849",0.929941002949852
"Namalide C",0.929706601466993
"Nostamide A",0.92932067932068
"Nodulapeptin 851",0.929187817258883
"Laxaphycin B4",0.928323029366306
"Hoiamide D",0.92770628311885
"Anabaenopeptin 931",0.927193828351012
"Aeruginosin NOL4",0.926666666666667
"Lobocyclamide A",0.926381145463761
"Aeruginosin NAL3",0.925717213114754
"Anabaenopeptin 802",0.924971031286211
"Anabaenopeptin 807",0.924971031286211
"Nodularin-R",0.923342175066313
"[6(Z)-Adda3]NOD-R",0.923342175066313
"Microviridin I",0.922635135135135
"Aeruginosin NOL2",0.921910112359551
"Aeruginosin NAL1",0.920875420875421
"Lyngbyaureidamide A",0.920194647201946
"Laxaphycin D",0.918059190658345
"Lobocyclamide B",0.916814333530223
"Anabaenopeptin NZ825",0.915707853926964
"Nodulapeptin 823",0.915570752235666
"Nodulapeptin 807",0.91512513601741
"Anachelin-H",0.914680050188206
"Radiosumin B",0.913498098859316
"Scytonemide A",0.903796653796654
"Anabaenopeptin SA6",0.899945622620989
"Radiosumin",0.897683397683398
"[D-Asp1]NOD-R",0.894200626959248
"Hassallidin B",0.891694915254237
"[Glu4(OMe)]NOD-R",0.889447236180904
"Microviridin N1",0.889347258485639
"[dhb5]NOD-R",0.887247278382582
"Anabaenopeptin SA7",0.886259541984733
"Micropeptin C",0.880831482069184
"Anabaenopeptin SA5",0.879496402877698
"Loggerpeptin B",0.87781214848144
"Aeruginosin NOL1",0.877665544332211
"Micropeptin KR998",0.875891121192482
"Spumigin B1",0.869721473495058
"Spumigin B2",0.869721473495058
"Nodulapeptin 899",0.869555843035791
"Trichormamide D",0.869165170556553
"Cyanopeptolin CP985",0.868326822916667
"Spumigin F",0.868075117370892
"Micropeptin D",0.867315885575167
"Anabaenopeptin MM823",0.866471215351812
"Spumigin H",0.865554465161924
"[DMAdda3]NOD-R",0.863086232980333
"Loggerpeptin A",0.862237509051412
"[D-MeAbu]NOD-R",0.859506172839506
"[L-MeAbu]NOD-R",0.859506172839506
"Oscillatoxin",0.858397365532382
"Pseudoaeruginosin NS1",0.858397365532382
"Pseudoaeruginosin NS2",0.858397365532382
"Lyngbyacyclamide A",0.856125356125356
"Lyngbyacyclamide B",0.855909811520169
"N-methylpalythine",0.855029585798816
"Spumigin A",0.854561878952123
"Muscotoxin B",0.853330291970803
"Anabaenopeptin 848",0.853164556962025
"Spumigin 582b",0.853163361661945
"Anabaenopeptin SA8",0.853153586904189
"Cyanopeptolin 997 A",0.851447979978548
"Nodularin-V",0.850313479623825
"Micropeptin KT1042",0.849697885196375
"Spumigin 652",0.848827470686767
"Micropeptin T1",0.847457627118644
"Nodulapeptin 883b",0.84735269000854
"Anabaenopeptin 863a",0.847160493827161
"Micropeptin DR1056",0.845446455057846
"Nodulapeptin 885",0.845206684256816
"Trichormamide B",0.845139743364387
"Cyanopeptolin 997 C",0.843606092809069
"Aeruginopeptin 228A",0.843328335832084
"Cyanopeptolin 983",0.843154868846568
"Planktopeptin BL843",0.842660352991821
"Microcystilide A",0.84222805482648
"Anabaenopeptin I",0.842120181405896
"Muscotoxin A",0.841602184797451
"Cyanopeptolin 997 B",0.840035273368607
"Micropeptin 996",0.839962709757613
"Trichormamide A",0.838983050847458
"Cyanopeptolin 1003",0.838335119685602
"Cyanopeptolin 1017",0.835320940021045
"Ribocyclophane E",0.834990059642147
"Spumigin C",0.834951456310679
"Nostopeptin BN920",0.833657209483094
"Anabaenopeptin 877b",0.833651551312649
"Tolybyssidin A",0.833410386808445
"Cyanopeptolin 1011",0.833160978972768
"Cyanopeptolin 1001",0.832387371408301
"Anabaenopeptin 877a",0.83127082341742
"Cyanopeptolin 1032",0.830584192439862
"Cyanopeptolin 1025",0.830399458361543
"Lyngbyastatin 5",0.829935934769948
"Micropeptin T20-PO3",0.829773462783171
"Balticidin D",0.828385772913816
"Kempopeptin B",0.827967053538001
"Kempopeptin C",0.827967053538001
"Symplocamide A",0.827106097990836
"Nodularin-R-Cys",0.826996197718631
"Loggerpeptin C",0.826232394366197
"Nostocyclin",0.825549450549451
"Molassamide",0.82453637660485
"Symplostatin 2",0.824324324324325
"Hexose-bound palythine-treonine",0.824175824175824
"Cyanopeptolin 954",0.824063564131668
"Spumigin 638",0.824043261231281
"Aeruginosin NOL5",0.823438704703161
"Largamide E",0.820440573770492
"Micropeptin TR1058",0.820143884892087
"Stigonemapeptin",0.819327731092437
"Bouillomide A",0.818986893375842
"Lyngbyastatin 9",0.818986893375842
"Spumigin D",0.818866253321524
"Balticidin B",0.818632043903092
"Somamide B",0.81858407079646
"Bouillomide B",0.818165969316597
"Lyngbyastatin 10",0.818165969316597
"Spumigin J",0.81692573402418
"Lyngbyastatin 4",0.815025766205587
"Palythine",0.81437125748503
"Micropeptin KT554",0.81304347826087
"Dinghupeptin A",0.812271619975639
"Hassallidin C",0.811969214437368
"Jizanpeptin D",0.80985686402082
"Acyclolaxaphycin B3",0.809086268504339
"Nodularin-R-phenylglyoxal (IIc)",0.808550185873606
"Jizanpeptin A",0.808361204013378
"Hexose-bound porphyra-334",0.807262569832402
"Tutuilamide C",0.807177033492823
"Largamide D",0.807004283194759
"Tutuilamide A",0.805663189269747
"Jizanpeptin B",0.805582922824302
"Jizanpeptin C",0.805582922824302
"Nodularin-R-phenylglyoxal (IIb)",0.805544314042898
"Cl-Cyanopeptolin W",0.805404589371981
"Aeruginosin KT608A",0.805313588850174
"Aeruginosin KT608B",0.805313588850174
"Microcin SF608",0.805313588850174
"Nostopeptolide L2",0.805047867711053
"Lyngbyastatin 6",0.804916732751785
"Dinghupeptin B",0.804703780887169
"Largamide D oxazolidine",0.804375476977868
"Spumigin 654",0.80436507936508
"Dinghupeptin D",0.803268945022288
"Acyclolaxaphycin B",0.802849343115509
"Nostopeptolide L1",0.802654109589041
"Micropeptin HA983",0.80253752680486
"Nodularin-R-phenylglyoxal (IIa)",0.801328502415459
"Lyngbyastatin 8",0.800284629981024
"Nostopeptolide L3",0.800173010380623
"Nostopeptolide L4",0.79964953271028
"Pentose-bound shinorine",0.799546142208775
"13-O-(beta-galactosyl)-porphyra-334",0.799446749654219
"Cyanopeptolin 984",0.79815668202765
"Tutuilamide B",0.79755525787006
"Palythinol",0.797071129707113
"Spumigin 640",0.796221864951768
"Anacyclamide A15G",0.795958083832335
"Anacyclamide A15",0.795777466479888
"Nostocyclopeptide",0.794155844155844
"Anacyclamide A7",0.793517844136926
"[Man]Hassallidin D",0.793513853904282
"[ManAc1]Hassallidin D",0.793402996348986
"[ManAc3]Hassallidin D",0.79318153226821
"Prenylagaramide B",0.792867701404287
"Largamide H",0.792434424452634
"Dolastatin 13",0.792095115681234
"[C141, Man]Hassallidin D",0.791314373558801
"Asterina-330",0.79126213592233
"Palythene",0.79126213592233
"[C141, ManAc1]Hassallidin D",0.791202458701498
"[C141, ManAc2]Hassallidin D",0.791090629800307
"Dinghupeptin C",0.791015625
"[C141, ManAc3]Hassallidin D",0.790978886756238
"Aeruginosin DA642A",0.790350128095645
"Aeruginosin DA642B",0.790350128095645
"Aeruginosin KT650",0.78792692613185
"Anacyclamide B8",0.787264318747777
"Dihydrospumigin K",0.787021630615641
"Dihydrospumigin L",0.787021630615641
"Microphycin AL828",0.784715284715285
"Aeruginosin NAL4",0.783963585434174
"Aeruginosin NOL6",0.783963585434174
"Minutissamide F",0.783504138746551
"[C181, Man]Hassallidin D",0.783180987202925
"[C181, ManAc1]Hassallidin D",0.783077485380117
"[C181, ManAc2]Hassallidin D",0.782974059188893
"[C181, ManAc3]Hassallidin D",0.782870708546384
"Mycosporine-2-glycine",0.782805429864253
"Puwainaphycin G",0.782579787234043
"478-Da MAA",0.782327586206897
"Spumigin 582a",0.782251082251082
"Anacyclamide A10",0.781669865642994
"Myxol (II)",0.780095759233926
"Nostocyclopeptide Ncp-E2-L",0.776872964169381
"Minutissamide E",0.776643566210901
"Puwainaphycin F",0.776356761565836
"Minutissamide A",0.774699068816716
"Largamide B",0.774418604651163
"Minutissamide H",0.774323062558356
"Minutissamide J",0.773800157356412
"Anacyclamide E10",0.773749426342359
"Shinorine",0.773722627737226
"Nostoweipeptin W3",0.773316603931409
"Carbamidocyclophane E",0.772635814889336
"Minutissamide D",0.772445489525438
"Microseiramide",0.772261198057205
"Nostocyclopeptide Ncp-E1-L",0.772133526850508
"Minutissamide C",0.772115384615385
"Mycosporine-GABA",0.771356783919598
"Puwainaphycin B",0.771022258862325
"Puwainaphycin E",0.770962235971837
"Anacyclamide B7",0.77085620197585
"Largamide C",0.770554202192448
"Spumigin K",0.770358306188925
"Spumigin L",0.770358306188925
"Puwainaphycin C",0.76963601532567
"Puwainaphycin A",0.769594733593911
"Minutissamide K",0.768783961026794
"Minutissamide B",0.768485523385301
"Puwainaphycin D",0.768458301453711
"Anacyclamide B10",0.76680467608378
"Minutissamide I",0.766755482680877
"Minutissamide L",0.766598360655737
"Anacyclamide A9P",0.766000449135414
"Dihydrospumigin M",0.764298093587521
"Dihydrospumigin N",0.764298093587521
"Aeruginosin NOL7",0.763671875
"Cylindrocyclophane A",0.763285024154589
"Balticidin C",0.761738697222568
"Nostophycin",0.760379596678529
"Wewakamide A",0.760262725779967
"Anacyclamide A20P",0.759385367557186
"Carbamidocyclophane R",0.759354365370506
"Nostophycin C",0.759333600963469
"Anacyclamide A20PP",0.759278650378127
"Piricyclamide TLGCMNGTERCLGLP",0.758212375859435
"Linear Nodularin-R",0.758029978586724
"Scytonemide B",0.757695895522388
"Nostophycin B",0.757685738684885
"Piricyclamide TLGCM(O)NGTERCLGLP",0.757552870090634
"Balticidin A",0.754949890002445
"Carbamidocyclophane D",0.754813863928113
"Aeruginosin A",0.753664495114007
"Piricyclamide 7005E2",0.753522229179712
"Calophycin",0.751638530287984
"Carbamidocyclophane M",0.751437699680511
"Homodolastatin 16",0.751224632610217
"Aeruginosin KB676",0.750552689756816
"Carbamidocyclophane S",0.750354609929078
"Tiglicamide A",0.75015216068168
"Carbamidocyclophane C",0.748908296943231
"Nostosin D",0.74835886214442
"Ribocyclophane D",0.747848537005164
"Banyasin A",0.74765625
"Cylindrocyclophane A1",0.747108712413261
"Cylindrocyclophane C1",0.747044917257683
"Spiroidesin",0.745188606620477
"Cylindrocyclophane C2",0.744239631336405
"Dolastatin 16",0.743738656987296
"Cylindrocyclophane A2",0.743618618618618
"Carbamidocyclophane O",0.742424242424242
"Georgamide",0.742158327109783
"[C141, ManAc4]Hassallidin D",0.741752962528024
"Lyngbyastatin 3",0.741595517609391
"[ManAc4]Hassallidin D",0.741106926135174
"Majusculamide C",0.740973741794311
"Kororamide",0.739642567018684
"Euhalothece-362",0.738675958188153
"Pitiprolamide",0.738143631436315
"Lyngbyastatin 1",0.738031199569661
"Tasiamid E",0.737065779748706
"Ibu-epidemethoxylyngbyastatin 3",0.736541598694943
"Merocyclophane A",0.736009732360097
"57-Normajusculamide C",0.735965877820584
"Carbamidocyclophane G",0.735449735449735
"Grassypeptolide G",0.734580133762695
"Homodolastatin 3",0.734365693865396
"[C181, ManAc4]Hassallidin D",0.734363876741585
"Microginin 756",0.734095120444719
"Desmethoxymajusculamide C",0.734083958854601
"Tasiamid A",0.734081707765919
"Hoiamide A",0.733889661566991
"Ribocyclophane B",0.733799237611181
"Ribocyclophane C",0.733766233766234
"Guineamide F",0.733742959549411
"Microginin 764",0.733438485804417
"Dolastatin 12",0.733342473265698
"Nostocyclophane C",0.732980332829047
"Deoxygadusol",0.732876712328767
"Grassypeptolide F",0.73274811021702
"Nostosin C",0.732606438213915
"Aeruginazole DA1497",0.7312382739212
"Microginin FR8",0.731127679403542
"Cocosamide A",0.731053149606299
"Hantupeptin C",0.730912863070539
"Hoiamide B",0.73064735174287
"Wewakpeptin C",0.730211480362538
"Microginin FR2",0.730009633911368
"Microginin FR4",0.730009633911368
"Microginin FR6",0.730009633911368
"Malevamide B",0.729258304262096
"Carbamidocyclophane T",0.728282828282829
"Carbamidocyclophane B",0.727731591448931
"Microginin FR10",0.727644230769231
"Microginin 743",0.727556409025444
"Merocyclophane C",0.727450980392157
"Microginin 767",0.727399165507649
"Carbamidocyclophane N",0.727135069654754
"Nostosin B",0.726814516129032
"Microginin 757",0.726672950047126
"Microginin FR9",0.726596255400864
"Majusculamide D",0.726472838561592
"Carbamidocyclophane F",0.72634691195795
"Benderamide A",0.726116178588574
"Merocyclophane B",0.725743348982785
"Porphyra-334",0.72564935064935
"Microginin FR5",0.724817518248175
"Cocosamide B",0.724280838615309
"Guineamide G",0.724280838615309
"Aurilide B",0.724267468069121
"Microginin KR767",0.724042455006922
"Tasiamid C",0.723941068139963
"Cylindrocyclophane C3",0.723520818115412
"Dolastatin 3",0.723118279569892
"Microginin FR3",0.723058252427184
"Nostocyclophane D",0.722992700729927
"Aurilide A",0.722909636295463
"Dudawalamide D",0.72287780738485
"Aestuaramide B",0.72275641025641
"Carbamidocyclophane P",0.721731448763251
"Microginin 711",0.72153770330212
"Microginin 741A",0.721323179438363
"Cylindrocyclophane A3",0.721153846153846
"Tasiamid D",0.720878302940082
"Companeramide A",0.719888295288975
"Microginin 741B",0.719610636277303
"Malevamide C",0.719412838881865
"deoxy-Majusculamide D",0.719272187151875
"Grassystatin A",0.719128872923215
"Carbamidocyclophane U",0.718790637191157
"Grassystatin B",0.718763845813026
"Microginin 771",0.71873568483738
"Carbamidocyclophane A",0.718552556002298
"Microginin 91C",0.718226068144943
"Mycosporine-glycine-valine",0.717770034843205
"Microginin 761B",0.717664092664092
"Aurilide C",0.716333459072048
"Nostosin F",0.716230366492147
"Microginin 713B",0.715603190428714
"Companeramide B",0.714745175655616
"Cylindrocyclophane C4",0.71453775582216
"Microginin 715",0.714177215189874
"Nostofungicine",0.713584136397332
"Urumamide",0.713310038119441
"Apratoxin C",0.713105520090124
"Apratoxin D",0.712822324267044
"Carbamidocyclophane Q",0.712820512820513
"Microcolin A",0.712580906148867
"Microginin 99A",0.712569316081331
"Merocyclophane D",0.712246431254695
"Cylindrocyclophane A4",0.711829436038514
"Viequeamide A",0.711487257512362
"Wewakpeptin B",0.710629921259842
"Microginin T2",0.710617283950618
"Porpoisamide A",0.710174418604651
"Porpoisamide B",0.710174418604651
"Microginin 747A",0.708535402521824
"Nostosin E",0.708333333333333
"Izenamide C",0.708067940552017
"Medusamide A",0.70726880172724
"Mycosporine-glutamic acid-glycine",0.706552706552707
"Microginin 99B",0.706438541197658
"Apratoxin A sulfoxide",0.706423673763984
"Aeruginosin 878A",0.706370721789224
"Apratoxin H",0.705914172376487
"Glycosylated Palythine-threonine",0.705882352941177
"Wewakpeptin A",0.705078125
"Microcolin B",0.70462850182704
"Cylindrocyclophane B4",0.704081632653061
"Apratoxin S4",0.703723594701039
"Apratoxin S9",0.703723594701039
"Cylindrocyclophane F4",0.702482269503546
"Apratoxin S7",0.70155740673669
"Veraguamide E",0.701107011070111
"Coibamide A",0.701106282101936
"Lyngbyastatin 2",0.700533462657614
"Veraguamide I",0.70004215851602
"Hoshinoamide B",0.698814758172434
"15,16-dihydrosacrolide A",0.697784810126582
"Cryptophycin 43",0.697297297297298
"Nostocyclophane B",0.696902654867257
"Aestuaramide A",0.696249454862625
"Apratoxin S8",0.696160558464224
"Cryptophycin 17",0.695112781954887
"Carmabid B",0.694619486185167
"Veraguamide G",0.694188963210703
"Veraguamide D",0.693415637860083
"Cryptophycin 30",0.691155492154065
"Coibacin C",0.69047619047619
"Floridamide",0.690112994350283
"Dolastatin 15",0.688775510204082
"Veraguamide J",0.687894073139975
"Desacetylmicrocolin B",0.687008688456765
"Cryptophycin 45",0.685372918175235
"Cryptophycin 176",0.685322461082283
"Cryptophycin 65",0.684135977337111
"Viridamide A",0.683072830063186
"Veraguamide C",0.683052241875772
"Carmabin A",0.682920912178554
"Anabaenolysin D",0.682408074981976
"Cryptophycin 26",0.681938559322034
"Ribocyclophane A",0.681486880466472
"Almiramide A",0.681431334622824
"Cryptophycin 63",0.680477528089887
"Janadolide",0.68045738045738
"Anabaenolysin C",0.680445722501797
"Anabaenolysin A",0.680274858528699
"Cryptophycin 16",0.679468772433596
"Veraguamide A",0.679435483870968
"Cryptophycin 13",0.679132920438304
"Cryptophycin 15",0.678522571819425
"Almiramide F",0.678068410462777
"Anabaenolysin B",0.676446945337621
"Cryptophycin 5",0.675839552238806
"Gadusol",0.675595238095238
"Pembamide",0.675568743818002
"Viridamide B",0.675567423230975
"Apramide E",0.674669350201265
"Symplostatin 3",0.674387442572741
"Acetamino-tridecane",0.673151750972762
"Isodolastatin H",0.67258495609011
"Dragomabin",0.672379032258065
"Veraguamide K",0.672328244274809
"Symplostatin 1",0.672199927033929
"Carmaphycin A",0.672043010752688
"Mirabimide D",0.671736375158428
"Veraguamide H",0.671522363561757
"Almiramide E",0.671246923707957
"Almiramide D",0.671180274858528
"Apramide B",0.67098674521355
"Almiramide H",0.670421958213847
"Cryptophycin 23",0.670124481327801
"Cryptophycin 14",0.669520547945206
"Yanucamide B",0.668913560666138
"Carmaphycin B",0.668880455407969
"Veraguamide B",0.668209255533199
"Malevamide D",0.66724336793541
"Almiramide B",0.665963161933999
"Veraguamide L",0.665190107050572
"Dolastatin 10",0.664591724642988
"Tumonoic acid I",0.663610038610039
"Yanucamide A",0.662903225806452
"Tumonoic acid D",0.662251655629139
"epi-tumonoic acid D",0.662251655629139
"Credneramide A",0.660179640718563
"Almiramide G",0.660145219846712
"Lyngbyabellin I",0.66
"Hapalosin",0.659156279961649
"Mirabimide B",0.658884565499351
"Lyngbyabellin F",0.658273381294964
"Lyngbyabellin D",0.657091561938959
"Malyngolide",0.656896551724138
"Mirabimide A",0.655150487494701
"Cryptophycin 10",0.654595015576324
"9-epi-sacrolide A",0.652366863905326
"Sacrolide A",0.652366863905326
"Coibacin A",0.652112676056338
"Lyngbyabellin E",0.651922186197313
"Nostocyclophane A",0.6514319340918
"Cryptophycin 12",0.650690495532087
"Apramide G",0.648251978891821
"Lyngbyabellin H",0.647887323943662
"Trichophycin B",0.647347740667977
"Lyngbyabellin J",0.646531924666973
"1050-Da MAA",0.646189735614308
"Lyngbioic acid",0.645491803278688
"Gallinamide A",0.644927536231884
"Symplostatin 4",0.644927536231884
"Koshikalide",0.644846796657382
"Pitiamide A",0.644578313253012
"Mirabimide C",0.644125105663567
"Grenadadien",0.643776824034335
"Tricholide B",0.6437125748503
"Trichotoxin A",0.643617021276596
"Tanikolide",0.643086816720257
"Tricholide A",0.643006263048016
"ethyl tumonoate A",0.643004115226337
"N-octanoyl-homoserine lactone",0.642023346303502
"Credneramide B",0.641414141414141
"Calothrixamides B",0.641227380015736
"Sanctolide A",0.64070351758794
"Phycoerythrobilin",0.638862332695984
"Malyngamide R",0.63879817112998
"Phormidolide",0.638424409584554
"Phycocyanobilin",0.638252148997134
"Malyngamide M",0.6375
"Debromogrenadadien",0.63716814159292
"Tumonic acid A",0.63716814159292
"Lyngbic acid",0.636842105263158
"Malyngamide L",0.6368
"Tumonoic acid F",0.6357421875
"methyl tumonoate A",0.635593220338983
"Malyngamide Q",0.634348113831899
"7-methoxy-9-methylhexadecadienoic acid",0.634328358208955
"Cryptophycin G",0.633766233766234
"Phormidinine B",0.631853785900784
"Calothrixamides A",0.63129357087529
"Malyngamide Y",0.631284916201117
"Lyngbyabellin M",0.631183469004383
"Semiplenamide F",0.630896226415094
"Semiplenamide C",0.630790190735695
"Trichotoxin B",0.630641330166271
"Takinolide seco-acid",0.630630630630631
"Isomalyngamide A",0.629691689008043
"Malyngamide A",0.629691689008043
"Malyngamide U",0.629233511586453
"Malyngamide V",0.629233511586453
"Isomalyngamide B",0.62860310421286
"Malyngamide B",0.62860310421286
"Malyngamide",0.628138847858198
"Cryptophycin 7",0.627686472819216
"Trichophycin C",0.627510040160642
"Malyngamide J",0.627338563669282
"8-O-acetyl-8-epi-malyngamide C",0.626637554585153
"Malyngamide I",0.626323751891074
"Trichophycin A",0.626201923076923
"Samholide I",0.626154263986963
"Dragonamide C",0.625455281262646
"Ypaoamide A",0.625437062937063
"Kalkipyrone A",0.625295508274232
"8-epi-malyngamide C",0.625
"Malyngamide C",0.625
"Nostocyclyne A",0.625
"Trichophycin D",0.62472885032538
"Tumonoic acid E",0.624153498871332
"Malyngamide N",0.623824451410658
"N-demethyl-isomalyngamide I",0.623824451410658
"Parguerene",0.623481781376518
"Y-lactone 2",0.623456790123457
"Trichophycin F",0.622964169381108
"Dragonamide D",0.622803432774827
"2,5-dimethyldodecanoic acid",0.622641509433962
"Grenadamide C",0.622093023255814
"Malyngamide P",0.621951219512195
"Swinholide A",0.621376811594203
"11-Carboxyanatoxin-a",0.621134020618556
"Dragonamide B",0.620773930753564
"Malyngamide 4",0.620192307692307
"20-Nor-3alpha-acetoxy-abieta-5,7,9,11,13-pentaene",0.620098039215687
"Taveuniamide A",0.620039682539683
"1E-pitiamide B",0.619205298013245
"1Z-pitiamide B",0.619205298013245
"Malyngamide O",0.618973561430793
"Smenamide C",0.618973561430793
"Smenamide D",0.618973561430793
"Dechlorobarbamide",0.618852459016394
"Biopterin-a-glucoside",0.618721461187214
"Trichophycin E",0.618556701030928
"(-)-7-methoxydodec-4(E)-enoic acid",0.617977528089887
"Anaephene C",0.617977528089887
"Gloeolactone",0.617433414043584
"Mueggelone",0.617433414043584
"Santacruzamate A",0.617283950617284
"Grenadamide",0.6171875
"Laingolide A",0.616702355460386
"Tantazole I",0.616106080206986
"Malyngamide T",0.61609907120743
"Laingolide B",0.616016427104723
"Samholide E",0.615783239561741
"Samholide F",0.615783239561741
"Samholide G",0.615783239561741
"Samholide A",0.615055762081784
"Samholide B",0.615055762081784
"Samholide H",0.614803465765004
"Grenadamide B",0.614754098360656
"Hoshinolactam",0.614583333333333
"Malyngic acid",0.614444444444444
"Caldorin",0.614206128133704
"Taveuniamide B",0.614150943396226
"Microcystbiopterin E",0.613868613138686
"Hermitamide B",0.613856589147287
"Somocystinamide A",0.612577639751553
"Ankaraholide A",0.612442684451855
"Samholide C",0.611996251171509
"Samholide D",0.611996251171509
"Ankaraholide B",0.611643482740855
"Yoshinone A",0.611545988258317
"Curacin A",0.610993657505285
"Curacin B",0.610993657505285
"Curacin C",0.610993657505285
"Glucosylsucrose",0.609547123623011
"Hermitamide A",0.609161793372319
"Taveuniamide K",0.609116022099447
"Curacin D",0.609030837004406
"Kalkipyrone B",0.608879492600423
"Ypaoamide C",0.608620689655172
"Laucysteinamide A",0.608459869848156
"Microcystbiopterin D",0.607287449392713
"Nakienone C",0.606951871657754
"Ypaoamide B",0.606529209621993
"Barbamide",0.605566218809981
"Caracolamide A",0.604229607250755
"Mirabilene B isonitrile",0.603479853479854
"Mirabilene C isonitrile",0.603479853479854
"Mirabilene D isonitrile",0.603479853479854
"Microcystbiopterin B",0.603299856527977
"Acetamino-trichlorodecane",0.602990033222591
"Makalikone ester",0.602977667493797
"Anaephene A",0.601612903225807
"Mirabimide E",0.601362862010221
"13-O-Acetyldecarbamoylsaxitoxin",0.600946372239747
"Taveuniamide F",0.600678733031674
"4-Oxohomoanatoxin-a",0.6005291005291
