"Strain","maxProb","minProb","meanProb","medianProb","count"
"HAN21/1",0.355707908163265,0.355707908163265,0.355707908163265,0.355707908163265,1
"NIES-41",0.354625550660793,0.354625550660793,0.354625550660793,0.354625550660793,1
"BEA-0956",0.336749633967789,0.336749633967789,0.336749633967789,0.336749633967789,1
"VP216",0.329074889867842,0.329074889867842,0.329074889867842,0.329074889867842,1
"VP417",0.31925165962583,0.31925165962583,0.31925165962583,0.31925165962583,1
"UTEX 1163",0.318181818181818,0.318181818181818,0.318181818181818,0.318181818181818,1
"HKVV",0.315720524017468,0.315720524017468,0.315720524017468,0.315720524017468,1
"HT-58-2",0.313253012048193,0.270864946889226,0.291272509917623,0.289699570815451,3
"CCNP1324",0.301610541727672,0.135632183908046,0.239379777145686,0.263624519223504,12
"UTEX LB2385",0.293726235741445,0.25800156128025,0.277695224801061,0.282335331145078,6
"VP727",0.293014705882353,0.293014705882353,0.293014705882353,0.293014705882353,1
"[Leptolyngbya sp.]LTPNA DBG 07",0.289179104477612,0.289179104477612,0.289179104477612,0.289179104477612,1
"[Nostoc sp.]CCIBt 3329",0.289179104477612,0.289179104477612,0.289179104477612,0.289179104477612,1
"TAU IL-374",0.288531775018261,0.288531775018261,0.288531775018261,0.288531775018261,1
"TAU IL-235",0.287029109589041,0.263252470799641,0.275140790194341,0.275140790194341,2
"UTEX LB 2386",0.284386617100371,0.279580152671756,0.282505052289634,0.283548387096774,3
"# KMCC CY-11",0.281845238095238,0.281845238095238,0.281845238095238,0.281845238095238,1
"IL-374",0.279309731364526,0.279309731364526,0.279309731364526,0.279309731364526,1
"91/1",0.278379920136908,0.278379920136908,0.278379920136908,0.278379920136908,1
"TAU IL-337",0.274582560296846,0.274582560296846,0.274582560296846,0.274582560296846,1
"NIES-299",0.272058823529412,0.272058823529412,0.272058823529412,0.272058823529412,1
"[Dolichospermum flos-aquae]NIVA-CYA 656",0.256928066037736,0.256928066037736,0.256928066037736,0.256928066037736,1
"TAU IL-184-6",0.256114130434782,0.236147757255937,0.248882879373348,0.251634814901336,4
"SYKE 764",0.247329498767461,0.163366336633664,0.194386349872864,0.172463214217466,3
"NIVA-CYA 656",0.247217584863662,0.088591800356506,0.137372098264024,0.113283884018881,5
"1TU32S11",0.237562189054726,0.237562189054726,0.237562189054726,0.237562189054726,1
"31",0.236147757255937,0.202549575070821,0.219348666163379,0.219348666163379,2
"TAU IL-361",0.233615693267945,0.159357870007831,0.176675013093845,0.166512659771262,6
"PCC 6910",0.223537445936717,0.223537445936717,0.223537445936717,0.223537445936717,1
"42",0.220247295208655,0.220247295208655,0.220247295208655,0.220247295208655,1
"CCAP 1459/22",0.219573076260974,0.219573076260974,0.219573076260974,0.219573076260974,1
"TAU IL-342",0.209158878504673,0.043437645959832,0.18170612222817,0.200728527607362,9
"UHCC-0232 (formerly TR232)",0.208955223880597,0.208955223880597,0.208955223880597,0.208955223880597,1
"299A",0.204806235115826,0.204806235115826,0.204806235115826,0.204806235115826,1
"1TU44S9",0.204340532606416,0.204340532606416,0.204340532606416,0.204340532606416,1
"NIES-478",0.201863354037267,0.187010078387458,0.194436716212362,0.194436716212362,2
"NIH304",0.200093066542578,0.174979887369268,0.187536476955923,0.187536476955923,2
"NIES-90",0.198332124728064,0.198332124728064,0.198332124728064,0.198332124728064,1
"TAU IL-381",0.196440452428477,0.136470128855915,0.162036109179789,0.161365260900644,9
"PH262",0.194758478931141,0.194758478931141,0.194758478931141,0.194758478931141,1
"NIES-103",0.191761363636363,0,0.112187493391698,0.14480111653873,3
"axenic culture from Lake Zuerih",0.191282979824108,0.191282979824108,0.191282979824108,0.191282979824108,1
"Switzerland",0.191282979824108,0.191282979824108,0.191282979824108,0.191282979824108,1
"U-3-3",0.190814322405197,0.190814322405197,0.190814322405197,0.190814322405197,1
"AB2017/14",0.186709941920055,0.037977099236641,0.121264275516786,0.110689916603487,13
"NIES 89",0.184871099050203,0.184871099050203,0.184871099050203,0.184871099050203,1
"NIES 90",0.184871099050203,0.184871099050203,0.184871099050203,0.184871099050203,1
"TAU IL-376",0.184088806660499,0.184088806660499,0.184088806660499,0.184088806660499,1
"strain   97",0.181208053691275,0.165174704013861,0.173191378852568,0.173191378852568,2
"[Microcystis sp.]CAWBG11",0.179268725594604,0.130312035661219,0.160320238545061,0.162898730257045,13
"[Microcystis aeruginosa]UTEX 2670",0.177995795374913,0.166609996599796,0.17358008191874,0.176134453781512,3
"CYA548",0.17762962962963,0.17762962962963,0.17762962962963,0.17762962962963,1
"[Hapalosiphon hibernicus]BZ-3-1",0.17729158807997,0.158883826879271,0.170409907810454,0.175054308472122,3
"CPCC-464",0.176186291739894,0.176186291739894,0.176186291739894,0.176186291739894,1
"[Microcystis aeruginosa]CBT 850",0.17486971627099,0.149761336515513,0.162315526393252,0.162315526393252,2
"[Microcystis aeruginosa]PCC7820",0.173469387755102,0.100492610837438,0.131688240604036,0.125826771653544,5
"TAU IL-37",0.172903225806452,0.143562320032908,0.161962627072548,0.168030340627871,8
"IC-39-2",0.172260273972603,0.172260273972603,0.172260273972603,0.172260273972603,1
"[Microcystis aeruginosa]UAM-1303",0.170095179613141,0.170095179613141,0.170095179613141,0.170095179613141,1
"strain 15-2",0.169625926564386,0.115327989530509,0.142476958047447,0.142476958047447,2
"[Diehnelt 2006] [Microcystis sp.]CAWBG11",0.168345323741007,0.168345323741007,0.168345323741007,0.168345323741007,1
"strain 90",0.167125984251969,0.147663174858985,0.157394579555477,0.157394579555477,2
"[Planktothrix rubescens]80",0.16593503072871,0.16410998552822,0.165022508128465,0.165022508128465,2
"TAU IL-36",0.165637406263785,0.148300536672629,0.159629439575909,0.162241311987505,5
"B2666",0.164590411476028,0.164590411476028,0.164590411476028,0.164590411476028,1
"CAWBG11",0.164257753688648,0.133513351335133,0.148885552511891,0.148885552511891,2
"[Nostoc sp.]UK18",0.163414634146341,0.136450686243217,0.145452696515619,0.141307622777945,5
"[Microcystis aeruginosa]NPJB-1",0.163268506900879,0.163268506900879,0.163268506900879,0.163268506900879,1
"strain 202A2",0.162710895052902,0.15424610051993,0.158478497786416,0.158478497786416,2
"TAU  IL-217",0.16201522290685,0.144883303411131,0.153449263158991,0.153449263158991,2
"TAU  IL-231",0.16201522290685,0.144883303411131,0.153449263158991,0.153449263158991,2
"bloom of Microcystis aeruginosa",0.160848924881318,0.125565610859729,0.145729243872445,0.150773195876289,3
"field sample",0.160848924881318,0.125565610859729,0.145729243872445,0.150773195876289,3
"[Microcystis aeruginosa]UTEX-2666",0.159618263473054,0.159618263473054,0.159618263473054,0.159618263473054,1
"UTEX 2670",0.159513349104427,0.159513349104427,0.159513349104427,0.159513349104427,1
"[Phormidium sp.]DVL1003c",0.158783783783784,0.151600753295669,0.155192268539726,0.155192268539726,2
"K-139",0.156862745098039,0.116678858814923,0.136770801956481,0.136770801956481,2
"IO-102-I",0.156827176781002,0.136815068493151,0.146821122637077,0.146821122637077,2
"AB2011/53",0.155319822672577,0.0960989533777355,0.121331700614911,0.122807017543859,5
"[Microcystis sp.]AB2011/53 (isolated from Hartbeespoort Dam)",0.1547845373891,0.1547845373891,0.1547845373891,0.1547845373891,1
"IL-323",0.153711790393013,0.153711790393013,0.153711790393013,0.153711790393013,1
"DVL1003c",0.153327469950161,0.149761336515513,0.151544403232837,0.151544403232837,2
"LP904C",0.153327469950161,0.149761336515513,0.151544403232837,0.151544403232837,2
"[Microcystis aeruginosa] CAAT 2005-3",0.152636594663279,0.113729508196722,0.136782302697662,0.140159045725646,5
"BM Mi/13",0.15253740099736,0.15253740099736,0.15253740099736,0.15253740099736,1
"BIR260",0.151601134981759,0.151601134981759,0.151601134981759,0.151601134981759,1
"[Microcystis sp.]CYA548",0.151288577791919,0.151288577791919,0.151288577791919,0.151288577791919,1
"CENA358",0.150406504065041,0.142072902942468,0.146239703503754,0.146239703503754,2
"AB2011/53 (isolated from Hartbeespoort Dam)",0.14983606557377,0.14983606557377,0.14983606557377,0.14983606557377,1
"[Microcystis aeruginosa]CYA548",0.149348362099331,0.149348362099331,0.149348362099331,0.149348362099331,1
"1001",0.148643888693202,0.148643888693202,0.148643888693202,0.148643888693202,1
"[Anabaena sp.]66",0.148579636131503,0.119823489477258,0.133721436564879,0.133241310325378,4
"UV006",0.148263888888889,0.148263888888889,0.148263888888889,0.148263888888889,1
"[Nostoc sp.]IO-102-I",0.148142317380352,0.11376604850214,0.130954182941246,0.130954182941246,2
"80",0.147538595980192,0.132678910702976,0.140108753341584,0.140108753341584,2
"[Nostoc sp.]152",0.147529575504524,0.0744238760861355,0.114276054051125,0.112897707834416,11
"AB2011/53 and AQUAMEB-24",0.14545167403664,0.14545167403664,0.14545167403664,0.14545167403664,1
"[Microcystis aeruginosa]B2666",0.145348837209302,0.142688679245283,0.144018758227293,0.144018758227293,2
"LEGE 5292",0.145324651835775,0.0792055323255065,0.111819194301644,0.111373296522647,4
"[Anabaena sp.]66A",0.145271368215795,0.0796493902439025,0.115977742503843,0.119495105777838,4
"[Nostoc sp.]DUN901",0.145181674565561,0.068207024029575,0.105987592935756,0.104574080212131,3
"HUB011",0.144794400699913,0.144794400699913,0.144794400699913,0.144794400699913,1
"[Anabaena sp.]186",0.144502617801047,0.065710872162485,0.109440561929663,0.120036429872496,7
"36.91 SAG",0.143043705380463,0.143043705380463,0.143043705380463,0.143043705380463,1
"[Microcystis aeruginosa]SEAGL14",0.142743979721166,0.142743979721166,0.142743979721166,0.142743979721166,1
"[Microcystis aeruginosa]CALU 972",0.142305315203956,0.142305315203956,0.142305315203956,0.142305315203956,1
"MIRS-04",0.138278046962356,0.138278046962356,0.138278046962356,0.138278046962356,1
"RST9501",0.136835482856244,0.136835482856244,0.136835482856244,0.136835482856244,1
"[Microcystis aeruginosa]98",0.136779073432083,0.136779073432083,0.136779073432083,0.136779073432083,1
"[Microcystis aeruginosa]CAAT 2005-3",0.135612443292288,0.135612443292288,0.135612443292288,0.135612443292288,1
"[Oscillatoria tenuis]E6",0.134876435781413,0.134876435781413,0.134876435781413,0.134876435781413,1
"[Microcystis sp.]NPLJ-4",0.132574543122796,0.132574543122796,0.132574543122796,0.132574543122796,1
"UWOCC CBS",0.13201166180758,0.13201166180758,0.13201166180758,0.13201166180758,1
"CYA 83/1",0.130562262849258,0.10811794685111,0.119340104850184,0.119340104850184,2
"[Microcystis aeruginosa]WR 70",0.128571428571429,0.128571428571429,0.128571428571429,0.128571428571429,1
"AQUAMEB-24",0.127984084880637,0.100998336106489,0.114491210493563,0.114491210493563,2
"[Planktothrix sp.]Max06",0.127412495911024,0.064030131826742,0.102453265847995,0.109544402219019,6
"CCAP 1459/11A",0.12495057334915,0.067753438614366,0.096352005981758,0.096352005981758,2
"TAU IL-215",0.123481781376518,0.0851268255188315,0.100093440061985,0.095882576676295,4
"[Microcystis aeruginosa]NPLJ-4",0.122651356993737,0.0837572674418605,0.0973863894359897,0.0857505438723715,3
"[Oscillatoria/Planktothrix agardhii]CCAP 1459/14",0.122455789122456,0.122455789122456,0.122455789122456,0.122455789122456,1
"bloom",0.122455789122456,0.107567017305734,0.115011403214095,0.115011403214095,2
"[Oscillatoria/Planktothrix rubescens]CBT 310",0.120420624151968,0.120420624151968,0.120420624151968,0.120420624151968,1
"[Microcystis aeruginosa]MK10.10",0.119971264367816,0.119971264367816,0.119971264367816,0.119971264367816,1
"[Anabaena sp.]202 A1",0.118299139642621,0.097348347257537,0.107823743450079,0.107823743450079,2
"[Anabaena sp.]202 A2",0.118299139642621,0.097348347257537,0.107823743450079,0.107823743450079,2
"[Planktothrix sp.]Max13",0.118181818181818,0.118181818181818,0.118181818181818,0.118181818181818,1
"NRC 525-17",0.117306419589676,0.0314940135346175,0.068200432470868,0.0620006483795895,4
"[Oscillatoria/Planktothrix agardhii]PH-123",0.115271419228254,0.115271419228254,0.115271419228254,0.115271419228254,1
"UTCC507",0.112897707834416,0.112897707834416,0.112897707834416,0.112897707834416,1
"TAU IL-89-2",0.112581725402647,0.112581725402647,0.112581725402647,0.112581725402647,1
"RST 9501",0.111805555555555,0.111805555555555,0.111805555555555,0.111805555555555,1
"[Microcystis sp.]RST9501",0.111486486486487,0.105907025515554,0.10869675600102,0.10869675600102,2
"AB2017/15",0.110689916603487,0.037977099236641,0.0757833372473511,0.0819802016761575,6
"[Microcystis aeruginosa]M.TN-2",0.108922969675845,0.108922969675845,0.108922969675845,0.108922969675845,1
"CBT344",0.108621529469069,0.056857855361596,0.0811146560546663,0.0778645833333335,3
"173",0.108564737370358,0.108564737370358,0.108564737370358,0.108564737370358,1
"208",0.108564737370358,0.108564737370358,0.108564737370358,0.108564737370358,1
"[Microcystis aeruginosa]NIES CRM No. 26",0.108400139421401,0.061910154775387,0.085155147098394,0.085155147098394,2
"NIES-I02",0.105630525825965,0.105630525825965,0.105630525825965,0.105630525825965,1
"[Dolicospermum sp.]NIVA-CYA 656",0.102564102564102,0.102564102564102,0.102564102564102,0.102564102564102,1
"[Phormidium sp.]CENA270",0.0868135481749425,0.071210579857579,0.0790120640162608,0.0790120640162608,2
"[Nostoc sp.]UK8911A",0.0837572674418605,0.0837572674418605,0.0837572674418605,0.0837572674418605,1
"NIES-595",0.0835140997830805,0.0307076101468625,0.0571108549649715,0.0571108549649715,2
"[Oscillatoria agardhii]NIES 610",0.0833623997209625,0.0833623997209625,0.0833623997209625,0.0833623997209625,1
"PCC 7820.",0.083248730964467,0.083248730964467,0.083248730964467,0.083248730964467,1
"[Microcystis aeruginosa]205",0.081118881118881,0.081118881118881,0.081118881118881,0.081118881118881,1
"SAG 36.91",0.0797028876648305,0.0792055323255065,0.0794542099951685,0.0794542099951685,2
"NIVA-CYA 548",0.079436152570481,0.079436152570481,0.079436152570481,0.079436152570481,1
"EAWAG 127a",0.0781743709771795,0.0781743709771795,0.0781743709771795,0.0781743709771795,1
"[Anabaena flos-aquae]S-23-g-1",0.0761285386381025,0.0761285386381025,0.0761285386381025,0.0761285386381025,1
"202
A2/41",0.072225038013178,0.072225038013178,0.072225038013178,0.072225038013178,1
"[Dolichospermum sp.]90",0.064030131826742,0.064030131826742,0.064030131826742,0.064030131826742,1
"NIES-101",0.0595555555555555,0.0595555555555555,0.0595555555555555,0.0595555555555555,1
"[Microcystis aeruginosa]K-139",0.040507859733978,0.040507859733978,0.040507859733978,0.040507859733978,1
"[Oscillatoria agardhii]CCAP 1459/14",0.032767469403869,0.032767469403869,0.032767469403869,0.032767469403869,1
"[Oscillatoria/Planktothrix agardhii]CYA-29",0.026306039273805,0.026306039273805,0.026306039273805,0.026306039273805,1
"NIES-204",0,0,0,0,1
"NIES-298",0,0,0,0,1
